,Unnamed: 0,Title,Ratings,Ranked,Popularity,Actor 1,Name,Info,Info1,Info2,Info3,Info4,Info5,Info6,Image
92,92,After School: Lucky or Not 2,7.2, #2212, Not Yet Rated,Alice,Alice, Song, 앨리스, 송주희;Ora;오라;Song Ju Hui, South Korean, Female," March 21, 1990", 30,https://i.mydramalist.com/BoEWV_5c.jpg
93,93,After School: Lucky or Not 2,7.2, #2212, Not Yet Rated,Kang Tae Oh,Kang Tae Oh, Kim,  강태오 , Gang Tae Oh;Kim Yun Hwan;Gim Yoon Hwan;Kim Yoon Hwan, South Korean, Male," June 20, 1994", 26,https://i.mydramalist.com/ZjBdj_5c.jpg
94,94,After The Show Ends,7.5, #32514, #2101,Yoon So Hee,Yoon So Hee, Yoon, 윤소희 , Yun So Hui;Yoon So Hui;Yun So Hee, South Korean, Female," May  7, 1993", 27,https://i.mydramalist.com/QX5WAc.jpg
95,95,After The Show Ends,7.5, #32514, #2101,Ha Seok Jin,Ha Seok Jin, Ha, 하석진, Ha Suk Jin, South Korean, Male," March  5, 1982", 39,https://i.mydramalist.com/1Aoeb_5c.jpg
96,96,Aftermath,7.0, #1162, 13+ - Teens 13 or older,Sun Joo Ah,Sun Joo Ah, Sun, 선주아, Seon Joo Ah, South Korean, Female," December 27, 1991", 29,https://i.mydramalist.com/6QwmPc.jpg
97,97,Aftermath,7.0, #1162, 13+ - Teens 13 or older,Kim Dong Jun,Kim Dong Jun, Kim, 김동준, Kim Dong Joon;Kim Dong Jun;Gim Dong Joon;Gim Dong Jun;金桐俊;김동준, South Korean, Male," February 11, 1992", 29,https://i.mydramalist.com/27BAPc.jpg
98,98,Aftermath 2,7.1, #4110, #2074,Kim Dong Jun,Kim Dong Jun, Kim, 김동준, Kim Dong Joon;Kim Dong Jun;Gim Dong Joon;Gim Dong Jun;金桐俊;김동준, South Korean, Male," February 11, 1992", 29,https://i.mydramalist.com/27BAPc.jpg
99,99,Aftermath 2,7.1, #4110, #2074,Sun Joo Ah,Sun Joo Ah, Sun, 선주아, Seon Joo Ah, South Korean, Female," December 27, 1991", 29,https://i.mydramalist.com/6QwmPc.jpg
100,100,Age of Youth,8.6, #106, #74,Ryu Hwa Young,Ryu Hwa Young, Ryu, 류화영, Ryu Hwa Yeong;, South Korean, Female," April 22, 1993", 27,https://i.mydramalist.com/XgOlwc.jpg
101,101,Age of Youth,8.6, #106, #74,Han Ye Ri,Han Ye Ri, Kim, 한예리, South Korean, Female," December 23, 1984", 36,,https://i.mydramalist.com/ByNVl_5c.jpg
102,102,Age of Youth 2,8.5, #241, #206,Han Seung Yeon,Han Seung Yeon, Han, 한승연 , South Korean, Female," July 24, 1988", 32,,https://i.mydramalist.com/2g4Ewc.jpg
103,103,Age of Youth 2,8.5, #241, #206,Han Ye Ri,Han Ye Ri, Kim, 한예리, South Korean, Female," December 23, 1984", 36,,https://i.mydramalist.com/ByNVl_5c.jpg
104,104,Alchemist,7.3, #2495, Not Yet Rated,Heo Young Ji,Heo Young Ji, Heo, 허영지, Heo Yeong Ji, South Korean, Female," August 30, 1994", 26,https://i.mydramalist.com/43WNdc.jpg
105,105,Alchemist,7.3, #2495, Not Yet Rated,Han Ki Woong,Han Ki Woong, Han, 한기웅, South Korean, Male," December 30, 1987", 33,,https://i.mydramalist.com/0AEQYc.jpg
106,106,All About My Mom,7.8, #1514, #2125,Lee Sang Woo,Lee Sang Woo, Lee, 이상우, Lee Sang U, South Korean, Male," February 13, 1980", 41,https://i.mydramalist.com/1Ljp3c.jpg
107,107,All About My Mom,7.8, #1514, #2125,Eugene,Eugene, Kim, 유진, 김유진;Kim Yu Jin, South Korean, Female," March  3, 1981", 40,https://i.mydramalist.com/RyoYV_5c.jpg
108,108,All About My Romance,7.6, #2664, #1380,Lee Min Jung,Lee Min Jung, Lee, 이민정, Lee Min Jeong, South Korean, Female," February 16, 1982", 39,https://i.mydramalist.com/EyBxb_5c.jpg
109,109,All About My Romance,7.6, #2664, #1380,Shin Ha Kyun,Shin Ha Kyun, Shin, 신하균, Shin Ha Gyun, South Korean, Male," May 30, 1974", 46,https://i.mydramalist.com/EN4dp_5c.jpg
110,110,All is Well,6.9, #39227, #4915,Kwak Shi Yang,Kwak Shi Yang, Kwak, 곽시양, Kwak Si Yang;Gwag Shi Yang;Kwag Shi Yang, South Korean, Male," January 15, 1987", 34,https://i.mydramalist.com/2gqNPc.jpg
111,111,All is Well,6.9, #39227, #4915,Choi Yoon Young,Choi Yoon Young, Choi , 최윤영, Choi Yun Young;Choe Yun Yeong;Choi Yoon Yeong, South Korean, Female," September 25, 1986", 34,https://i.mydramalist.com/1p6O6c.jpg
112,112,All the Love in the World: Season 1,7.0, #38606, #6793,Yang  Jin Sung,Yang  Jin Sung, Yang, 양진성, Yang Jin Seong, South Korean, Female," June 27, 1988", 32,https://i.mydramalist.com/ejX7Y_5c.jpg
113,113,All the Love in the World: Season 1,7.0, #38606, #6793,Shin  Won Ho,Shin  Won Ho, Shin , 신원호, Shin, South Korean, Male," October 23, 1991", 29,https://i.mydramalist.com/BmmgAc.jpg
114,114,All the Love in the World: Season 2,10.0, #99999, Not Yet Rated,Yun  Joon Suk,Yun  Joon Suk, Yun , 연준석, Yeon Joon Seok; Yeon Jun Seok, South Korean, Male," December 15, 1995", 25,https://i.mydramalist.com/2wkYWc.jpg
115,115,All the Love in the World: Season 2,10.0, #99999, Not Yet Rated,Sol Bin,Sol Bin, Ahn, 솔빈, Solbin;안솔빈;Ahn Sol Bin;An Sol Bin, South Korean, Female," August 19, 1997", 23,https://i.mydramalist.com/1LePzc.jpg
116,116,All the Love in the World: Season 3,8.7, #99999, Not Yet Rated,Lee Seung Hyub,Lee Seung Hyub, Lee, 이승협, JDON;Lee Seung Hyeob;Seungjjang, South Korean, Male," October 31, 1992", 28,https://i.mydramalist.com/vgdde_5c.jpg
